iter	Logloss
249	0.5804473162
250	0.5802342296
251	0.5798160434
252	0.5794571638
253	0.5790744424
254	0.5786658525
255	0.578376472
256	0.5781028271
257	0.5776355267
258	0.5773580074
259	0.5770094395
260	0.576754272
261	0.5763588548
262	0.5760359764
263	0.5756998062
264	0.5753576159
265	0.5750473738
266	0.5747523308
267	0.5743469
268	0.5740528107
269	0.5735435486
270	0.5731950998
271	0.5726310015
272	0.5722379684
273	0.5720072985
274	0.5715968609
275	0.5710885525
276	0.5705986619
277	0.5702236891
278	0.5698096752
279	0.569280386
280	0.568893075
281	0.5684500933
282	0.5681064129
283	0.5676949024
284	0.5673716068
285	0.5670855045
286	0.5667160749
287	0.5664638281
288	0.5661821365
289	0.5658738017
290	0.565397501
291	0.5650442243
292	0.5647323132
293	0.5642366409
294	0.5639349222
295	0.5634910464
296	0.5632127523
297	0.5627224445
298	0.5624431372
299	0.5621367693
300	0.5617849827
301	0.5614883304
302	0.5610994101
303	0.5606521964
304	0.5602614284
305	0.559877634
306	0.5595462918
307	0.5592401028
308	0.5590262413
309	0.558821559
310	0.5585519671
311	0.5582345128
312	0.5579240322
313	0.5575919747
314	0.5570984483
315	0.5568059683
316	0.5562036633
317	0.5557796955
318	0.5552819967
319	0.5548654795
320	0.5545111299
321	0.5543110371
322	0.5538914204
323	0.55351156
324	0.5532134771
325	0.5529319048
326	0.5527100563
327	0.5524228811
328	0.5519087315
329	0.5516599417
330	0.5511797667
331	0.5508617163
332	0.5504251719
333	0.5498889685
334	0.549577415
335	0.5493139029
336	0.5489761829
337	0.5487931967
338	0.5485280156
339	0.5480667353
340	0.5478662252
341	0.5474281311
342	0.5472283363
343	0.5470001101
344	0.5467070341
345	0.546431303
346	0.5461354256
347	0.5456528664
348	0.5453667641
349	0.5450329781
350	0.5447273254
351	0.5442769527
352	0.54390347
353	0.543674767
354	0.543336153
355	0.5431530476
356	0.5429558158
357	0.5423794985
358	0.5420687795
359	0.5418362021
360	0.5414305925
361	0.5411972404
362	0.5409073234
363	0.540561676
364	0.5402712822
365	0.5399426818
366	0.5396473408
367	0.5392834544
368	0.5388435125
369	0.5384917259
370	0.5383046269
371	0.5379160643
372	0.5374597311
373	0.5371717811
374	0.5367120504
375	0.5364630222
376	0.5361122489
377	0.5357193947
378	0.5352528095
379	0.5349062681
380	0.5346882343
381	0.5344427824
382	0.5342273116
383	0.5338567495
384	0.533318758
385	0.533153832
386	0.5329144001
387	0.5324892402
388	0.5323122144
389	0.5320463181
390	0.5315799713
391	0.5310736895
392	0.5306589603
393	0.5304504037
394	0.5301395655
395	0.5297580957
396	0.5294793248
397	0.529309988
398	0.5290408134
399	0.5287336707
400	0.5285730362
401	0.5282972455
402	0.5280175209
403	0.5276955366
404	0.5275073051
405	0.5272395611
406	0.5269540548
407	0.5267631412
408	0.5264761448
409	0.5261620283
410	0.5259845853
411	0.5256211758
412	0.5252935886
413	0.5249205232
414	0.5245464444
415	0.5242106318
416	0.5240268707
417	0.523737371
418	0.5233485699
419	0.5229703188
420	0.5227820277
421	0.5224333405
422	0.5219436884
423	0.5216010213
424	0.5213278532
425	0.5210351944
426	0.5207133293
427	0.520385921
428	0.5201443434
429	0.5198037028
430	0.5196263194
431	0.5192369223
432	0.5189945102
433	0.5187860727
434	0.5184836984
435	0.5181714296
436	0.5179806948
437	0.5178210735
438	0.5173718929
439	0.5170705318
440	0.5167599916
441	0.5165671706
442	0.5161371827
443	0.5159706473
444	0.5157786608
445	0.5154430866
446	0.5152002573
447	0.5149169564
448	0.5147275925
449	0.5145716071
450	0.5143550038
451	0.5137840509
452	0.5135755539
453	0.5133962035
454	0.5132481456
455	0.5130218267
456	0.5127567053
457	0.5124768615
458	0.512170434
459	0.511859417
460	0.5115116835
461	0.5111964345
462	0.5109966993
463	0.510705173
464	0.5105296373
465	0.5102341771
466	0.5099306107
467	0.5096647739
468	0.5093310475
469	0.5089617968
470	0.5086149573
471	0.5082981586
472	0.5080629587
473	0.5077730417
474	0.5075870752
475	0.5073546171
476	0.5071197748
477	0.5067849159
478	0.5066007972
479	0.506279707
480	0.5059907436
481	0.5054852366
482	0.5049738884
483	0.504787147
484	0.5043894649
485	0.504021883
486	0.5038210154
487	0.5035754442
488	0.5032974482
489	0.5030347109
490	0.502710402
491	0.5023854971
492	0.5021673441
493	0.5018799305
494	0.5015718341
495	0.5013424158
496	0.5010815859
497	0.5008164644
498	0.5005021691
499	0.5001036525
