iter	F1	Logloss
256	1	0.5221539364
257	1	0.5215917373
258	1	0.520963541
259	1	0.5203191686
260	1	0.5197311183
261	1	0.519374759
262	1	0.5188968101
263	1	0.5184263386
264	1	0.5177371458
265	1	0.5171562954
266	1	0.5167022689
267	1	0.5160984358
268	1	0.5154583562
269	1	0.5148417676
270	1	0.5143798682
271	1	0.5137427663
272	1	0.5131895511
273	1	0.5125352693
274	1	0.5119333522
275	1	0.5113632312
276	1	0.5109579243
277	1	0.5103487497
278	1	0.5095739521
279	1	0.5090078529
280	1	0.5083332912
281	1	0.5077767474
282	1	0.5072075854
283	1	0.5066089208
284	1	0.5061556519
285	1	0.5057598803
286	1	0.5052529664
287	1	0.5046984968
288	1	0.5040948428
289	1	0.5035928
290	1	0.5032125865
291	1	0.5025923094
292	1	0.5020694318
293	1	0.5014453985
294	1	0.5009536857
295	1	0.5004461078
296	1	0.499826126
297	1	0.4992075466
298	1	0.4987398752
299	1	0.4982549532
300	1	0.4976510512
301	1	0.4971003629
302	1	0.4967638468
303	1	0.4962169032
304	1	0.4957182548
305	1	0.4951623702
306	1	0.4945624233
307	1	0.494187333
308	1	0.4936880652
309	1	0.4931098379
310	1	0.492725157
311	1	0.4923246039
312	1	0.4918650861
313	1	0.49138496
314	1	0.4909352441
315	1	0.4903928435
316	1	0.4900903063
317	1	0.4896726124
318	1	0.4891109488
319	1	0.488549329
320	1	0.4881401282
321	1	0.4876600831
322	1	0.4872083174
323	1	0.4867292836
324	1	0.4862521232
325	1	0.4856854739
326	1	0.4852701177
327	1	0.4848587541
328	1	0.4843371299
329	1	0.4838167805
330	1	0.48324476
331	1	0.4827191985
332	1	0.4821967102
333	1	0.4817561156
334	1	0.4814198004
335	1	0.480811843
336	1	0.4802322285
337	1	0.4797335732
338	1	0.4791832595
339	1	0.4786451621
340	1	0.4782119173
341	1	0.4776941681
342	1	0.4771839145
343	1	0.4766739635
344	1	0.4762580959
345	1	0.475803926
346	1	0.4753011632
347	1	0.4746607775
348	1	0.4739656478
349	1	0.473375105
350	1	0.4729031417
351	1	0.4724026399
352	1	0.4719299924
353	1	0.4713169711
354	1	0.470695172
355	1	0.470114565
356	1	0.4697841845
357	1	0.4692535337
358	1	0.4688107503
359	1	0.4683133238
360	1	0.4676682222
361	1	0.4672815413
362	1	0.4667322142
363	1	0.4661833839
364	1	0.4657859152
365	1	0.4653650188
366	1	0.4649722965
367	1	0.4645481926
368	1	0.4640771072
369	1	0.4636150587
370	1	0.4631256658
371	1	0.4626583749
372	1	0.4621900375
373	1	0.4617462804
374	1	0.4613706619
375	1	0.4609202657
376	1	0.4605591861
377	1	0.4601131855
378	1	0.459588987
379	1	0.4590249894
380	1	0.4585208815
381	1	0.4579666055
382	1	0.4575503972
383	1	0.457157831
384	1	0.4566462226
385	1	0.4562313553
386	1	0.4556947702
387	1	0.4551735617
388	1	0.4548507373
389	1	0.4544834477
390	1	0.4539908045
391	1	0.4535636121
392	1	0.4531325293
393	1	0.4526215237
394	1	0.4522322737
395	1	0.4518035516
396	1	0.4513348664
397	1	0.4508246029
398	1	0.4504043453
399	1	0.4498897056
400	1	0.4494070149
401	1	0.4489533351
402	1	0.4485292737
403	1	0.4481523151
404	1	0.4478023188
405	1	0.4474017703
406	1	0.4469571576
407	1	0.4465177927
408	1	0.4460910048
409	1	0.4455296338
410	1	0.4451181891
411	1	0.444602568
412	1	0.4442379623
413	1	0.4438147022
414	1	0.443319833
415	1	0.4428341486
416	1	0.4424909885
417	1	0.4421049228
418	1	0.44183929
419	1	0.4414979955
420	1	0.4411215309
421	1	0.4406155584
422	1	0.4401188923
423	1	0.4396901655
424	1	0.4391959266
425	1	0.4388221503
426	1	0.4382787872
427	1	0.4377984407
428	1	0.437388591
429	1	0.436938026
430	1	0.4365270054
431	1	0.4361639862
432	1	0.4357768713
433	1	0.4353805014
434	1	0.434984577
435	1	0.4344887109
436	1	0.4340023648
437	1	0.4334921018
438	1	0.4330540689
439	1	0.4326829381
440	1	0.432304173
441	1	0.4318587681
442	1	0.4313616198
443	1	0.4309513782
444	1	0.4304983329
445	1	0.4300600108
446	1	0.4295701633
447	1	0.4290384007
448	1	0.4286731955
449	1	0.428128166
450	1	0.4274675839
451	1	0.4271349523
452	1	0.4266745882
453	1	0.4262176116
454	1	0.4258391546
455	1	0.4255170259
456	1	0.4250423107
457	1	0.4246517564
458	1	0.424157869
459	1	0.4237675369
460	1	0.4232122886
461	1	0.4228263197
462	1	0.4224478792
463	1	0.4219810066
464	1	0.4214751485
465	1	0.4210957141
466	1	0.4206346047
467	1	0.4201740331
468	1	0.4197368877
469	1	0.4194386468
470	1	0.4190458093
471	1	0.4185639295
472	1	0.4180606288
473	1	0.4176830489
474	1	0.4173384834
475	1	0.4169597752
476	1	0.4166421832
477	1	0.4163048454
478	1	0.415813745
479	1	0.4153374061
480	1	0.4149030194
481	1	0.4144886248
482	1	0.4141208348
483	1	0.4138289495
484	1	0.4134885627
485	1	0.4130728926
486	1	0.4127110302
487	1	0.4122931007
488	1	0.4118554194
489	1	0.4114256886
490	1	0.4110051863
491	1	0.4105722963
492	1	0.410121941
493	1	0.4097822694
494	1	0.4093877105
495	1	0.4090028682
496	1	0.4086582583
497	1	0.4082143454
498	1	0.4076760225
499	1	0.4073019198
